"game_number","game_date","season","team_id","team_abbr","team_name","game_id","player_id","shots_against_ev","goals_against_ev","xga_ev","xgf_ev","team_change","team_xg_pct_ev","gsax_ev","cumulative_gsax_ev","sv_pct_ev","cumulative_sv_pct_ev","cumulative_goals_against_ev"
1,"2020-01-07",2019,3,"NYR","New York Rangers",2019020666,8478048,26,3,2.12317932284285,2.39241219318711,0,52.9811473135747,-0.876820677157153,-0.876820677157153,0.884615384615385,0.884615384615385,3
2,"2020-01-09",2019,3,"NYR","New York Rangers",2019020682,8478048,38,2,2.26090908085747,2.39799876488697,0,51.4712641735844,0.26090908085747,-0.615911596299683,0.947368421052632,0.921875,5
3,"2020-01-19",2019,3,"NYR","New York Rangers",2019020757,8478048,29,2,1.92215136311794,1.98134655135206,0,50.7582326099713,-0.0778486368820588,-0.693760233181742,0.931034482758621,0.924731182795699,7
4,"2020-01-31",2019,3,"NYR","New York Rangers",2019020785,8478048,25,2,1.23490262435232,3.0008867590853,0,70.8459861299781,-0.765097375647681,-1.45885760882942,0.92,0.923728813559322,9
5,"2020-02-05",2019,3,"NYR","New York Rangers",2019020825,8478048,29,2,3.38111322461716,3.89809349687547,0,53.5510756325402,1.38111322461716,-0.0777443842122612,0.931034482758621,0.925170068027211,11
6,"2020-02-09",2019,3,"NYR","New York Rangers",2019020857,8478048,39,1,2.57764217051869,2.92927095037314,0,53.1926123777081,1.57764217051869,1.49989778630643,0.974358974358974,0.935483870967742,12
7,"2020-02-11",2019,3,"NYR","New York Rangers",2019020872,8478048,32,1,1.34371383130759,2.2622683292786,0,62.0420062766818,0.343713831307592,1.84361161761402,0.96875,0.940366972477064,13
8,"2020-02-19",2019,3,"NYR","New York Rangers",2019020927,8478048,34,3,2.65795079261256,3.10271496449017,0,53.860353912473,-0.342049207387442,1.50156241022658,0.911764705882353,0.936507936507937,16
9,"2020-02-21",2019,3,"NYR","New York Rangers",2019020942,8478048,19,1,1.59608135866564,2.45781610482818,0,60.6284724012218,0.596081358665635,2.09764376889221,0.947368421052632,0.937269372693727,17
10,"2020-02-22",2019,3,"NYR","New York Rangers",2019020953,8478048,34,1,2.75899434436405,3.02748679254708,0,52.3199976102087,1.75899434436405,3.85663811325626,0.970588235294118,0.940983606557377,18
11,"2020-03-07",2019,3,"NYR","New York Rangers",2019021055,8478048,21,4,1.88941222458354,2.32769181388059,0,36.7334922207603,-2.11058777541646,1.74605033783981,0.80952380952381,0.932515337423313,22
12,"2020-03-10",2019,3,"NYR","New York Rangers",2019021076,8478048,28,1,2.41107075185317,2.14294643606077,0,47.0561780431573,1.41107075185317,3.15712108969297,0.964285714285714,0.935028248587571,23
13,"2021-01-14",2020,3,"NYR","New York Rangers",2020020008,8478048,26,2,2.41544062878972,1.08431160975606,0,30.9825249288679,0.415440628789724,3.5725617184827,0.923076923076923,0.93421052631579,25
14,"2021-01-19",2020,3,"NYR","New York Rangers",2020020046,8478048,8,0,0.533292636227322,2.45553552809956,0,53.4135409085452,0.533292636227322,4.10585435471002,1,0.935567010309278,25
15,"2021-01-22",2020,3,"NYR","New York Rangers",2020020068,8478048,25,2,2.54033025976707,2.83771215473116,0,52.764778259859,0.540330259767071,4.64618461447709,0.92,0.934624697336562,27
16,"2021-01-24",2020,3,"NYR","New York Rangers",2020020083,8478048,19,3,1.88030913170599,2.18707883819301,0,40.702797606776,-1.11969086829401,3.52649374618308,0.842105263157895,0.930555555555556,30
17,"2021-01-28",2020,3,"NYR","New York Rangers",2020020110,8478048,22,1,0.943577728339045,2.01583736166881,0,68.116073628031,-0.0564222716609548,3.47007147452213,0.954545454545455,0.931718061674009,31
18,"2021-02-01",2020,3,"NYR","New York Rangers",2020020144,8478048,18,1,1.37748923364424,2.1181576683755,0,60.5941540363146,0.377489233644244,3.84756070816637,0.944444444444444,0.932203389830508,32
19,"2021-02-04",2020,3,"NYR","New York Rangers",2020020164,8478048,27,2,1.96662635760355,3.07889946106891,0,61.0223705460892,-0.0333736423964452,3.81418706576993,0.925925925925926,0.93186372745491,34
20,"2021-02-08",2020,3,"NYR","New York Rangers",2020020196,8478048,28,2,1.85407312423524,1.64427779708469,0,47.0015111138222,-0.145926875764758,3.66826019000517,0.928571428571429,0.93168880455408,36
21,"2021-02-12",2020,3,"NYR","New York Rangers",2020020228,8478048,21,1,1.52070529637646,1.7175699827572,0,53.0396533557427,0.520705296376455,4.18896548638162,0.952380952380952,0.932481751824818,37
22,"2021-02-16",2020,3,"NYR","New York Rangers",2020020364,8478048,35,3,2.69164107123292,2.92252280219681,0,46.8650255352245,-0.308358928767076,3.88060655761455,0.914285714285714,0.93138936535163,40
23,"2021-02-20",2020,3,"NYR","New York Rangers",2020020279,8478048,22,1,1.31572258682936,1.364407574126,0,50.9082578899693,0.315722586829356,4.1963291444439,0.954545454545455,0.932231404958678,41
24,"2021-02-24",2020,3,"NYR","New York Rangers",2020020308,8478048,22,2,2.04025086295849,2.18205404296056,0,44.6700208752344,0.0402508629584934,4.2365800074024,0.909090909090909,0.931419457735247,43
25,"2021-02-28",2020,3,"NYR","New York Rangers",2020020342,8478048,2,1,0.171128628770899,1.21675048330768,0,35.2173683773269,-0.828871371229101,3.4077086361733,0.5,0.930047694753577,44
26,"2021-03-02",2020,3,"NYR","New York Rangers",2020020354,8478048,21,2,1.70266894857011,1.57041432554355,0,47.9796630279384,-0.297331051429892,3.1103775847434,0.904761904761905,0.929230769230769,46
27,"2021-03-04",2020,3,"NYR","New York Rangers",2020020180,8478048,29,1,2.53548892648608,1.64534017916544,0,37.7311822021705,1.53548892648608,4.64586651122948,0.96551724137931,0.930780559646539,47
28,"2021-03-25",2020,3,"NYR","New York Rangers",2020020516,8478048,33,1,2.19424854267529,1.40781561280386,0,39.0835796375923,1.19424854267529,5.84011505390477,0.96969696969697,0.932584269662921,48
29,"2021-03-27",2020,3,"NYR","New York Rangers",2020020530,8478048,31,1,2.04152301146633,1.11161869908598,0,35.25432096394,1.04152301146633,6.8816380653711,0.967741935483871,0.934051144010767,49
30,"2021-03-30",2020,3,"NYR","New York Rangers",2020020558,8478048,25,1,1.80604294262927,2.09482054711635,0,53.701457449693,0.806042942629269,7.68768100800037,0.96,0.934895833333333,50
31,"2021-04-01",2020,3,"NYR","New York Rangers",2020020572,8478048,22,2,2.03067070931204,3.62659181675018,0,64.1050649504593,0.0306707093120382,7.71835171731241,0.909090909090909,0.934177215189873,52
32,"2021-04-03",2020,3,"NYR","New York Rangers",2020020586,8478048,28,2,2.1813101087135,1.96253144192825,0,47.3601950736826,0.181310108713504,7.89966182602591,0.928571428571429,0.93398533007335,54
33,"2021-04-06",2020,3,"NYR","New York Rangers",2020020613,8478048,37,3,2.8485788264474,1.80164640752395,0,38.7432074120273,-0.151421173552596,7.74824065247331,0.918918918918919,0.933333333333333,57
34,"2021-04-08",2020,3,"NYR","New York Rangers",2020020627,8478048,24,3,2.05363425924625,1.6871595702113,0,38.3588288873697,-0.94636574075375,6.80187491171957,0.875,0.931740614334471,60
35,"2021-04-11",2020,3,"NYR","New York Rangers",2020020651,8478048,28,2,2.20259401395314,1.61123277919501,0,42.2471409055524,0.202594013953141,7.00446892567271,0.928571428571429,0.931642778390298,62
36,"2021-04-13",2020,3,"NYR","New York Rangers",2020020666,8478048,23,0,1.83482101786545,1.94906895251273,0,51.5096624841322,1.83482101786545,8.83928994353816,1,0.933333333333333,62
37,"2021-04-15",2020,3,"NYR","New York Rangers",2020020676,8478048,14,0,1.90544031112017,1.96650839936006,0,50.788596296157,1.90544031112017,10.7447302546583,1,0.934322033898305,62
38,"2021-04-17",2020,3,"NYR","New York Rangers",2020020691,8478048,29,3,2.24567140642865,2.85631198187469,0,55.9843449985155,-0.75432859357135,9.99040166108698,0.896551724137931,0.933196300102775,65
39,"2021-04-18",2020,3,"NYR","New York Rangers",2020020702,8478048,1,0,0.0243971816192865,2.53134154501136,0,55.4348406480104,0.0243971816192865,10.0147988427063,1,0.933264887063655,65
40,"2021-04-20",2020,3,"NYR","New York Rangers",2020020717,8478048,24,5,2.79703752206126,1.64153143523542,0,36.9833487105537,-2.20296247793874,7.81183636476753,0.791666666666667,0.929859719438878,70
41,"2021-04-22",2020,3,"NYR","New York Rangers",2020020254,8478048,25,1,2.31985772188501,2.1661192300757,0,48.286454729308,1.31985772188501,9.13169408665254,0.96,0.930596285434995,71
42,"2021-04-25",2020,3,"NYR","New York Rangers",2020020754,8478048,27,2,1.77242470152241,1.41952452800292,0,44.4720271510714,-0.227575298477591,8.90411878817495,0.925925925925926,0.93047619047619,73
43,"2021-04-27",2020,3,"NYR","New York Rangers",2020020768,8478048,34,0,2.84354701810972,2.98929687909376,0,51.2493893506554,2.84354701810972,11.7476658062847,1,0.932656826568266,73
44,"2021-04-29",2020,3,"NYR","New York Rangers",2020020784,8478048,21,2,1.84506888774548,1.72491232438305,0,40.9252519111051,-0.15493111225452,11.5927346940302,0.904761904761905,0.932126696832579,75
45,"2021-05-03",2020,3,"NYR","New York Rangers",2020020814,8478048,31,5,2.80050587136019,1.4187143200632,0,25.597775153424,-2.19949412863981,9.39324056539034,0.838709677419355,0.929577464788732,80
46,"2021-05-06",2020,3,"NYR","New York Rangers",2020020838,8478048,29,3,2.16477448088753,0.702568235692871,0,24.5024158301787,-0.835225519112472,8.55801504627787,0.896551724137931,0.928755364806867,83
47,"2021-05-08",2020,3,"NYR","New York Rangers",2020020854,8478048,7,1,0.380486782681586,1.38336988309666,0,35.0350619117043,-0.619513217318413,7.93850182895946,0.857142857142857,0.928327645051195,84
48,"2021-10-14",2021,3,"NYR","New York Rangers",2021020011,8478048,21,2,1.72672156087623,2.26914226325396,0,56.7872771226858,-0.273278439123772,7.66522338983569,0.904761904761905,0.9279128248114,86
49,"2021-10-16",2021,3,"NYR","New York Rangers",2021020023,8478048,25,1,2.04659163670634,1.58974665992967,0,43.7183377960284,1.04659163670634,8.71181502654202,0.96,0.928571428571429,87
50,"2021-10-18",2021,3,"NYR","New York Rangers",2021020035,8478048,32,1,2.79343100472055,1.8331892368458,0,39.6226433364059,1.79343100472055,10.5052460312626,0.96875,0.9296,88
51,"2021-10-21",2021,3,"NYR","New York Rangers",2021020059,8478048,24,1,1.69152152981906,2.45728883730652,0,59.2287576404463,0.691521529819063,11.1967675610816,0.958333333333333,0.930141287284144,89
52,"2021-10-25",2021,3,"NYR","New York Rangers",2021020086,8478048,34,4,2.33879702884623,2.30993526338647,0,49.6895738058741,-1.66120297115377,9.53556458992787,0.88235294117647,0.928899082568807,93
53,"2021-10-29",2021,3,"NYR","New York Rangers",2021020112,8478048,28,0,1.78954758887635,2.02325923586726,0,53.0648241273885,1.78954758887635,11.3251121788042,1,0.930389221556886,93
54,"2021-10-31",2021,3,"NYR","New York Rangers",2021020131,8478048,24,1,2.42834857910439,2.35862100760725,0,49.2716940202556,1.42834857910439,12.7534607579086,0.958333333333333,0.930882352941176,94
55,"2021-11-02",2021,3,"NYR","New York Rangers",2021020141,8478048,23,3,2.4616812747419,0.820407384770396,0,24.9965028334215,-0.538318725258097,12.2151420326505,0.869565217391304,0.929862617498192,97
56,"2021-11-06",2021,3,"NYR","New York Rangers",2021020171,8478048,30,5,3.53709638127099,1.764135856414,0,33.2778451748114,-1.46290361872901,10.7522384139215,0.833333333333333,0.927813163481953,102
57,"2021-11-08",2021,3,"NYR","New York Rangers",2021020180,8478048,42,3,3.88883879960173,1.51147578891413,0,27.9886618481151,0.888838799601733,11.6410772135232,0.928571428571429,0.927835051546392,105
58,"2021-11-13",2021,3,"NYR","New York Rangers",2021020217,8478048,30,2,3.0534822208544,2.54418253336648,0,44.0700797830928,1.0534822208544,12.6945594343776,0.933333333333333,0.927946127946128,107
59,"2021-11-16",2021,3,"NYR","New York Rangers",2021020235,8478048,32,2,2.07657519791964,3.14735200568354,0,60.2487722936236,0.0765751979196394,12.7711346322973,0.9375,0.928147659854977,109
60,"2021-11-18",2021,3,"NYR","New York Rangers",2021020248,8478048,29,1,2.51106437466898,1.80209675737899,0,41.7813455655277,1.51106437466898,14.2821990069663,0.96551724137931,0.928848641655886,110
61,"2021-11-21",2021,3,"NYR","New York Rangers",2021020277,8478048,3,0,0.139578183952513,3.82354044016355,0,79.4160951300023,0.139578183952513,14.4217771909188,1,0.928986442866365,110
62,"2021-11-24",2021,3,"NYR","New York Rangers",2021020294,8478048,12,1,0.686489499363955,1.54042871285336,0,69.1731157616055,-0.313510500636045,14.1082666902827,0.916666666666667,0.928891736066624,111
63,"2021-11-26",2021,3,"NYR","New York Rangers",2021020304,8478048,28,2,1.61457305685372,2.25656886770845,0,58.2920727703279,-0.385426943146283,13.7228397471364,0.928571428571429,0.928886091881687,113
64,"2021-12-01",2021,3,"NYR","New York Rangers",2021020349,8478048,20,1,1.54790097423324,2.92900113638176,0,65.4247304053605,0.547900974233239,14.2707407213697,0.95,0.929148539465507,114
65,"2021-12-03",2021,3,"NYR","New York Rangers",2021020362,8478048,18,0,1.24402387553247,1.97712030923271,0,53.2014047386857,1.24402387553247,15.5147645969021,1,0.929932390903503,114
66,"2021-12-29",2021,3,"NYR","New York Rangers",2021020544,8478048,30,4,3.11760767179931,2.53496973668929,0,36.9371694117128,-0.88239232820069,14.6323722687015,0.866666666666667,0.928786964393482,118
67,"2021-12-31",2021,3,"NYR","New York Rangers",2021020561,8478048,21,2,2.28569592014686,1.2560577512657,0,35.4642888183904,0.285695920146864,14.9180681888483,0.904761904761905,0.928486293206198,120
68,"2022-01-02",2021,3,"NYR","New York Rangers",2021020576,8478048,27,0,2.13442893524252,1.69853229409648,0,44.3138396781903,2.13442893524252,17.0524971240908,1,0.929618768328446,120
69,"2022-01-13",2021,3,"NYR","New York Rangers",2021020660,8478048,35,0,2.52993383572872,2.68398353342145,0,51.477293240244,2.52993383572872,19.5824309598196,1,0.931034482758621,120
70,"2022-01-15",2021,3,"NYR","New York Rangers",2021020671,8478048,27,2,1.85815364167766,1.41017159365126,0,43.1466115553014,-0.141846358322341,19.4405846014972,0.925925925925926,0.930956423316355,122
71,"2022-01-19",2021,3,"NYR","New York Rangers",2021020702,8478048,30,2,3.21281280228918,2.71609716478902,0,45.8110711727931,1.21281280228918,20.6533974037864,0.933333333333333,0.930996104618809,124
