Red,Rose
464,112
675,118
703,129
887,99
1139,116
1077,168
1318,118
1260,129
1120,205
963,147
996,150
960,267
530,126
883,129
894,124
1045,97
1199,102
1287,127
1565,222
1577,214
1076,118
918,141
1008,154
1063,226
544,89
635,77
804,82
980,97
1018,127
1064,121
1404,117
1286,117
1104,106
999,112
996,134
1015,169
615,75
722,108
832,115
977,85
1270,101
1437,108
1520,109
1708,124
1151,105
934,95
1159,135
1209,164
699,88
830,85
996,112
1124,87
1458,91
1270,87
1753,87
2258,142
1208,95
1241,108
1265,139
1828,159
809,61
997,82
1164,124
1205,93
1538,108
1513,75
1378,87
2083,103
1357,90
1536,108
1526,123
1376,129
779,57
1005,65
1193,67
1522,71
1539,76
1546,67
2116,110
2326,118
1596,99
1356,85
1553,107
1613,141
814,58
1150,65
1225,70
1691,86
1759,93
1754,74
2100,87
2062,73
2012,101
1897,100
1964,96
2186,157
966,63
1549,115
1538,70
1612,66
2078,67
2137,83
2907,79
2249,77
1883,102
1739,116
1828,100
1868,135
1138,71
1430,60
1809,89
1763,74
2200,73
2067,91
2503,86
2141,74
2103,87
1972,87
2181,109
2344,137
970,43
1199,69
1718,73
1683,77
2025,69
2051,76
2439,78
2353,70
2230,83
1852,65
2147,110
2286,132
1007,54
1665,55
1642,66
1518,65
1831,60
2207,65
2822,96
2393,55
2306,71
1785,63
2047,74
2171,106
1212,34
1335,47
2011,56
1860,53
1954,53
2152,55
2835,67
2224,52
2182,46
1992,51
2389,58
2724,91
891,33
1247,40
2017,46
2257,45
2255,41
2255,55
3057,57
3330,54
1896,46
2096,52
2374,48
2535,77
1041,30
1728,35
2201,42
2455,48
2204,44
2660,45
